step,train_loss,val_loss,lr
0,8.3730,8.3665,1.50e-07
500,4.7204,4.7291,7.51e-05
1000,3.6622,3.6398,1.50e-04
1500,3.1130,3.0647,2.25e-04
2000,2.6788,2.7099,3.00e-04
2500,2.5017,2.4971,3.00e-04
3000,2.3479,2.3609,2.99e-04
3500,2.2178,2.2779,2.98e-04
4000,2.2454,2.2141,2.97e-04
4500,2.1277,2.1727,2.95e-04
5000,2.1633,2.1386,2.92e-04
5500,2.1064,2.1033,2.90e-04
6000,2.1064,2.0686,2.87e-04
6500,2.0058,2.0602,2.83e-04
7000,2.0568,2.0452,2.79e-04
7500,1.9857,2.0056,2.75e-04
8000,1.9697,1.9917,2.71e-04
8500,1.9943,1.9862,2.66e-04
9000,2.0029,1.9636,2.60e-04
9500,1.8080,1.9581,2.55e-04
10000,1.9375,1.9467,2.49e-04
10500,1.8994,1.9357,2.43e-04
11000,1.8947,1.9078,2.37e-04
11500,1.8495,1.8964,2.30e-04
12000,1.8767,1.9019,2.24e-04
12500,1.8886,1.8851,2.17e-04
13000,1.8308,1.8923,2.10e-04
13500,1.8310,1.8815,2.02e-04
14000,1.8360,1.8681,1.95e-04
14500,1.8090,1.8514,1.88e-04
15000,1.8065,1.8518,1.80e-04
15500,1.8165,1.8434,1.73e-04
16000,1.8344,1.8412,1.65e-04
16500,1.8836,1.8282,1.57e-04
17000,1.8320,1.8367,1.50e-04
17500,1.7590,1.8255,1.42e-04
18000,1.7514,1.8174,1.35e-04
18500,1.7259,1.8263,1.28e-04
19000,1.6734,1.8079,1.20e-04
19500,1.7445,1.7931,1.13e-04
20000,1.7543,1.8014,1.06e-04
20500,1.6966,1.7923,9.97e-05
21000,1.6654,1.7839,9.32e-05
21500,1.6983,1.7882,8.69e-05
22000,1.6732,1.7598,8.08e-05
22500,1.7473,1.7717,7.50e-05
23000,1.6851,1.7700,6.95e-05
23500,1.7003,1.7609,6.43e-05
24000,1.6427,1.7552,5.95e-05
24500,1.7367,1.7578,5.49e-05
25000,1.7678,1.7497,5.07e-05
25500,1.6867,1.7531,4.68e-05
26000,1.6882,1.7409,4.34e-05
26500,1.6731,1.7437,4.03e-05
27000,1.6893,1.7456,3.76e-05
27500,1.6490,1.7494,3.53e-05
28000,1.6725,1.7348,3.34e-05
28500,1.6916,1.7447,3.19e-05
29000,1.7465,1.7355,3.08e-05
29500,1.7260,1.7314,3.02e-05
29999,1.5944,1.7371,3.00e-05
